prey,predator,iteration,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,,,prey,predator,iteration,,prey,predator,iteration
1386,906,115,,536,716,,,1037,879,115,,717,475,115,,784,913,,,609,901,,,2457,674,,,2457,674,,,1561,738,115,,1047,99,115
1392,884,116,,507,681,,,1001,845,116,,696,474,116,,727,919,,,570,897,,,2421,687,,,2421,687,,,1514,710,116,,924,103,116
1339,880,117,,457,639,,,961,818,117,,684,472,117,,653,907,,,539,847,,,2380,724,,,2380,724,,,1539,708,117,,839,100,117
1302,847,118,,419,622,,,911,815,118,,671,455,118,,632,911,,,518,818,,,2294,734,,,2294,734,,,1537,679,118,,761,103,118
1335,846,119,,389,604,,,877,812,119,,641,462,119,,592,921,,,489,762,,,2260,740,,,2260,740,,,1545,657,119,,679,90,119
1312,838,120,,346,585,,,828,818,120,,650,466,120,,542,883,,,442,715,,,2166,740,,,2166,740,,,1572,627,120,,600,90,120
1255,812,121,,342,565,,,770,807,121,,658,453,121,,517,868,,,415,683,,,2114,762,,,2114,762,,,1536,606,121,,536,90,121
1260,798,122,,336,553,,,719,796,122,,663,448,122,,518,852,,,377,656,,,2013,766,,,2013,766,,,1500,583,122,,463,90,122
1245,774,123,,326,535,,,703,799,123,,653,443,123,,477,812,,,339,632,,,1985,777,,,1985,777,,,1488,565,123,,426,90,123
1216,756,124,,326,514,,,654,775,124,,628,461,124,,496,758,,,324,605,,,1893,772,,,1893,772,,,1486,536,124,,373,90,124
1185,730,125,,301,508,,,624,764,125,,605,459,125,,464,747,,,310,581,,,1787,783,,,1787,783,,,1512,521,125,,329,90,125
1182,707,126,,308,484,,,580,732,126,,591,447,126,,449,726,,,299,529,,,1733,831,,,1733,831,,,1495,505,126,,287,90,126
1157,681,127,,287,484,,,555,741,127,,587,440,127,,447,689,,,261,501,,,1687,874,,,1687,874,,,1453,482,127,,269,90,127
1151,671,128,,286,483,,,533,718,128,,579,439,128,,416,678,,,233,475,,,1631,896,,,1631,896,,,1424,449,128,,253,90,128
1131,636,129,,277,450,,,512,718,129,,577,434,129,,398,632,,,212,459,,,1543,876,,,1543,876,,,1370,428,129,,230,103,129
1111,635,130,,280,431,,,500,686,130,,554,433,130,,383,607,,,188,448,,,1495,881,,,1495,881,,,1317,398,130,,213,102,130
1122,623,131,,265,411,,,476,654,131,,540,431,131,,360,582,,,173,432,,,1374,892,,,1374,892,,,1285,373,131,,184,101,131
1076,606,132,,254,380,,,453,631,132,,539,434,132,,350,555,,,171,418,,,1288,887,,,1288,887,,,1263,359,132,,161,100,132
1060,598,133,,256,368,,,402,626,133,,538,425,133,,339,546,,,153,391,,,1248,867,,,1248,867,,,1237,346,133,,150,104,133
1036,633,134,,260,367,,,378,603,134,,503,431,134,,334,511,,,157,358,,,1208,876,,,1208,876,,,1209,339,134,,142,101,134
995,638,135,,273,359,,,349,590,135,,486,439,135,,339,487,,,148,347,,,1155,844,,,1155,844,,,1160,317,135,,136,104,135
977,613,136,,263,344,,,330,569,136,,460,429,136,,368,456,,,130,321,,,1085,856,,,1085,856,,,1096,297,136,,117,91,136
984,595,137,,265,336,,,323,555,137,,434,428,137,,365,419,,,122,298,,,1032,873,,,1032,873,,,1073,298,137,,118,91,137
936,606,138,,270,323,,,313,530,138,,409,424,138,,350,393,,,121,285,,,1004,873,,,1004,873,,,1016,294,138,,112,91,138
922,614,139,,269,304,,,278,512,139,,401,421,139,,348,366,,,114,257,,,925,874,,,925,874,,,1025,304,139,,116,91,139
912,594,140,,271,294,,,247,483,140,,391,411,140,,337,346,,,111,245,,,861,903,,,861,903,,,992,297,140,,104,91,140
861,565,141,,272,276,,,223,441,141,,387,398,141,,345,345,,,100,230,,,839,917,,,839,917,,,893,295,141,,97,91,141
837,563,142,,302,265,,,218,421,142,,356,381,142,,353,330,,,99,214,,,823,909,,,823,909,,,872,285,142,,95,91,142
802,555,143,,318,250,,,204,407,143,,340,368,143,,343,306,,,97,195,,,787,882,,,787,882,,,847,280,143,,83,91,143
768,548,144,,328,235,,,186,401,144,,311,365,144,,345,288,,,100,198,,,750,857,,,750,857,,,827,265,144,,75,91,144
764,534,145,,326,216,,,162,371,145,,285,350,145,,355,290,,,112,181,,,710,833,,,710,833,,,791,277,145,,59,91,145
747,530,146,,323,179,,,141,363,146,,288,348,146,,356,281,,,111,170,,,660,822,,,660,822,,,766,286,146,,54,104,146
708,534,147,,322,173,,,125,353,147,,279,345,147,,351,278,,,109,177,,,633,836,,,633,836,,,762,295,147,,50,103,147
680,504,148,,343,163,,,101,342,148,,260,324,148,,350,273,,,110,162,,,614,836,,,614,836,,,762,276,148,,54,102,148
655,470,149,,345,146,,,91,328,149,,228,313,149,,349,258,,,113,154,,,564,834,,,564,834,,,741,284,149,,52,101,149
661,448,150,,374,149,,,87,304,150,,220,300,150,,353,259,,,115,142,,,516,835,,,516,835,,,736,283,150,,51,105,150
640,432,151,,381,136,,,82,294,151,,219,288,151,,361,252,,,117,141,,,484,837,,,484,837,,,713,283,151,,51,102,151
632,379,152,,409,122,,,75,280,152,,225,272,152,,359,237,,,110,140,,,494,808,,,494,808,,,692,279,152,,50,105,152
603,334,153,,413,113,,,67,265,153,,215,256,153,,367,232,,,113,133,,,472,800,,,472,800,,,679,290,153,,42,92,153
564,322,154,,411,107,,,66,243,154,,212,247,154,,360,231,,,114,127,,,468,789,,,468,789,,,658,292,154,,46,92,154
543,320,155,,420,101,,,63,235,155,,215,231,155,,377,223,,,113,123,,,441,764,,,441,764,,,638,289,155,,41,92,155
513,307,156,,441,104,,,54,222,156,,220,226,156,,380,227,,,109,129,,,430,742,,,430,742,,,603,290,156,,41,92,156
491,283,157,,453,113,,,50,197,157,,211,226,157,,384,230,,,121,126,,,394,717,,,394,717,,,602,276,157,,37,92,157
484,282,158,,476,116,,,47,193,158,,209,224,158,,387,223,,,140,117,,,368,682,,,368,682,,,600,271,158,,33,92,158
453,278,159,,491,109,,,41,173,159,,212,222,159,,409,222,,,140,116,,,341,650,,,341,650,,,615,272,159,,29,92,159
415,271,160,,510,113,,,33,161,160,,217,223,160,,410,213,,,136,109,,,317,639,,,317,639,,,586,270,160,,25,92,160
397,263,161,,519,107,,,42,153,161,,217,218,161,,404,223,,,133,107,,,310,613,,,310,613,,,572,271,161,,25,92,161
375,272,162,,534,105,,,38,140,162,,217,199,162,,416,216,,,137,95,,,290,591,,,290,591,,,555,261,162,,29,92,162
359,263,163,,552,109,,,39,137,163,,232,195,163,,420,202,,,138,92,,,291,554,,,291,554,,,522,252,163,,35,105,163
337,256,164,,566,114,,,45,121,164,,225,203,164,,409,194,,,138,95,,,282,530,,,282,530,,,502,253,164,,35,104,164
313,254,165,,573,112,,,43,111,165,,231,201,165,,427,183,,,148,80,,,268,495,,,268,495,,,487,247,165,,33,103,165
298,253,166,,594,107,,,45,99,166,,228,204,166,,435,183,,,143,72,,,274,454,,,274,454,,,474,247,166,,31,102,166
292,258,167,,601,109,,,44,98,167,,233,190,167,,445,191,,,135,59,,,267,409,,,267,409,,,455,229,167,,34,106,167
277,251,168,,633,111,,,42,90,168,,231,187,168,,453,191,,,156,60,,,239,375,,,239,375,,,452,220,168,,33,103,168
257,245,169,,653,116,,,46,75,169,,256,187,169,,476,182,,,163,58,,,233,352,,,233,352,,,472,216,169,,36,106,169
246,243,170,,660,130,,,46,66,170,,239,177,170,,495,178,,,169,56,,,224,322,,,224,322,,,495,213,170,,35,93,170
216,251,171,,688,120,,,54,64,171,,248,170,171,,503,158,,,165,56,,,218,298,,,218,298,,,515,208,171,,35,93,171
200,249,172,,735,125,,,49,59,172,,242,161,172,,534,150,,,189,53,,,212,265,,,212,265,,,513,195,172,,36,93,172
202,253,173,,753,123,,,48,50,173,,251,171,173,,549,151,,,188,50,,,208,241,,,208,241,,,507,184,173,,39,93,173
193,243,174,,757,133,,,55,48,174,,255,174,174,,548,145,,,190,39,,,188,227,,,188,227,,,515,184,174,,39,93,174
183,239,175,,757,129,,,56,42,175,,258,174,175,,567,132,,,194,42,,,173,213,,,173,213,,,533,187,175,,41,93,175
173,220,176,,797,141,,,56,38,176,,261,175,176,,573,143,,,194,44,,,158,202,,,158,202,,,529,182,176,,45,93,176
190,219,177,,820,146,,,53,38,177,,262,165,177,,593,139,,,196,42,,,150,183,,,150,183,,,539,169,177,,42,93,177
185,210,178,,829,157,,,52,30,178,,264,171,178,,606,137,,,207,39,,,143,168,,,143,168,,,530,162,178,,41,93,178
175,208,179,,861,155,,,50,30,179,,265,177,179,,634,122,,,216,42,,,159,155,,,159,155,,,533,158,179,,50,93,179
173,197,180,,874,165,,,49,22,180,,261,173,180,,639,119,,,223,42,,,141,158,,,141,158,,,564,163,180,,58,106,180
171,207,181,,910,168,,,51,16,181,,268,170,181,,657,117,,,237,51,,,135,145,,,135,145,,,598,167,181,,57,105,181
158,211,182,,925,183,,,53,12,182,,275,157,182,,687,112,,,238,47,,,122,147,,,122,147,,,598,156,182,,53,104,182
151,188,183,,958,185,,,56,7,183,,267,143,183,,714,109,,,236,44,,,125,146,,,125,146,,,606,149,183,,53,103,183
136,197,184,,979,183,,,52,7,184,,271,135,184,,747,100,,,265,47,,,126,143,,,126,143,,,625,152,184,,50,107,184
130,195,185,,1011,185,,,57,4,185,,265,144,185,,794,102,,,269,46,,,127,139,,,127,139,,,672,161,185,,47,104,185
129,204,186,,1055,195,,,59,4,186,,277,152,186,,813,91,,,263,49,,,119,127,,,119,127,,,678,155,186,,50,107,186
118,203,187,,1072,198,,,59,2,187,,284,144,187,,831,86,,,268,47,,,109,125,,,109,125,,,664,156,187,,56,94,187
118,192,188,,1088,205,,,67,1,188,,292,144,188,,826,89,,,292,44,,,100,132,,,100,132,,,679,156,188,,56,94,188
114,194,189,,1107,203,,,66,1,189,,308,144,189,,841,87,,,315,44,,,90,134,,,90,134,,,693,153,189,,60,94,189
118,193,190,,1115,212,,,70,1,190,,311,142,190,,876,97,,,320,49,,,88,131,,,88,131,,,705,155,190,,69,94,190
110,187,191,,1159,217,,,70,1,191,,301,134,191,,864,98,,,316,48,,,86,127,,,86,127,,,705,161,191,,70,94,191
109,185,192,,1178,219,,,69,1,192,,304,139,192,,886,98,,,344,48,,,86,117,,,86,117,,,698,168,192,,66,94,192
99,187,193,,1199,240,,,68,1,193,,298,139,193,,934,99,,,374,47,,,86,116,,,86,116,,,690,164,193,,70,94,193
92,190,194,,1227,237,,,64,1,194,,307,133,194,,950,109,,,401,47,,,83,109,,,83,109,,,683,163,194,,70,94,194
90,186,195,,1245,264,,,65,0,195,,306,133,195,,981,106,,,423,49,,,71,109,,,71,109,,,710,165,195,,81,94,195
